time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
7.666667,-0.366519,-0.209440,-0.000000,-1.237729,0.182784,-0.000000,-1.404883,0.102188,0.000000,-0.610466,-0.351304,0.000000
8.000000,-0.436332,-0.209440,-0.000000,-1.180100,0.172888,-0.000000,-1.371738,0.099436,0.000000,-0.723351,-0.338656,0.000000
8.333333,-0.506145,-0.209440,-0.000000,-1.125675,0.163275,-0.000000,-1.338978,0.098278,0.000000,-0.832647,-0.327886,0.000000
8.666667,-0.575959,-0.209440,-0.000000,-1.069529,0.168436,-0.000000,-1.305265,0.101139,0.000000,-0.944616,-0.335908,0.000000
9.000000,-0.628319,-0.157080,-1.061393,-1.042434,0.081287,-1.061393,-1.313219,-0.023860,0.000000,-1.020207,-0.226772,0.000000
9.333333,-0.663225,-0.104720,-1.617978,-1.043622,-0.003564,-1.617978,-1.328510,-0.045873,0.000000,-1.086484,-0.198831,0.000000
9.666667,-0.698132,-0.104720,-1.501753,-1.049436,-0.017443,-1.501753,-1.338422,-0.029737,0.000000,-1.153513,-0.201088,0.000000
10.000000,-0.733038,-0.104720,-1.348315,-1.061155,-0.035157,-1.348315,-1.341554,-0.009395,0.000000,-1.221419,-0.203717,0.000000
10.333333,-0.767945,-0.104720,-1.348315,-1.075099,-0.041833,-1.348315,-1.342710,-0.003470,0.000000,-1.289074,-0.202965,0.000000
10.666667,-0.802851,-0.104720,-1.348315,-1.094987,-0.059664,-1.348315,-1.353987,-0.033831,0.000000,-1.340665,-0.154773,0.000000
11.000000,-0.855211,-0.157080,-1.348315,-1.094083,0.002712,-1.348315,-1.376695,-0.068124,0.000000,-1.384164,-0.130497,0.000000
11.333333,-0.890118,-0.104720,-1.348315,-1.122062,-0.083935,-1.348315,-1.393782,-0.051259,0.000000,-1.421855,-0.113073,0.000000
11.666667,-0.942478,-0.157080,-1.348315,-1.130878,-0.026450,-1.348315,-1.419199,-0.076252,0.000000,-1.452924,-0.093206,0.000000
12.000000,-0.977384,-0.104720,-1.348315,-1.166722,-0.107530,-1.348315,-1.432567,-0.040104,0.000000,-1.486468,-0.100634,0.000000
12.333333,-1.029744,-0.157080,-1.348315,-1.185214,-0.055477,-1.348315,-1.457704,-0.075413,0.000000,-1.508141,-0.065018,0.000000
12.666667,-1.082104,-0.157080,-1.348315,-1.208034,-0.068459,-1.348315,-1.483028,-0.075972,0.000000,-1.525300,-0.051478,0.000000
13.000000,-1.134464,-0.157080,-1.348315,-1.236115,-0.084242,-1.348315,-1.504172,-0.063430,0.000000,-1.541379,-0.048236,0.000000
13.333333,-1.186824,-0.157080,-1.348315,-1.268047,-0.095796,-1.348315,-1.516319,-0.036441,0.000000,-1.562603,-0.063672,0.000000
13.666667,-1.256637,-0.209440,-1.348315,-1.284495,-0.049343,-1.348315,-1.549580,-0.099783,0.000000,-1.560743,0.005578,0.000000
14.000000,-1.326450,-0.209440,-1.348315,-1.304985,-0.061472,-1.348315,-1.564116,-0.043608,0.000000,-1.573566,-0.038469,0.000000
