time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
11.333333,-0.331613,-0.261799,0.000000,-1.532991,0.041543,0.000000,-1.437880,0.086652,0.642055,-0.156379,-0.118529,0.642055
11.666667,-0.418879,-0.261799,0.000000,-1.515931,0.051177,0.000000,-1.413592,0.072862,0.642055,-0.194503,-0.114374,0.642055
12.000000,-0.506145,-0.261799,0.000000,-1.499643,0.048864,0.000000,-1.387932,0.076981,0.642055,-0.233230,-0.116180,0.642055
12.333333,-0.575959,-0.209440,0.000000,-1.497871,0.005317,0.000000,-1.352573,0.106078,0.642055,-0.284593,-0.154090,0.642055
12.666667,-0.645772,-0.209440,0.000000,-1.492040,0.017494,0.000000,-1.324850,0.083167,0.642055,-0.332378,-0.143355,0.642055
13.000000,-0.715585,-0.209440,0.000000,-1.487417,0.013869,0.000000,-1.294531,0.090960,0.642055,-0.381553,-0.147524,0.642055
13.333333,-0.785398,-0.209440,0.000000,-1.479147,0.024808,0.000000,-1.272900,0.064891,0.642055,-0.425684,-0.132394,0.642055
13.666667,-0.855211,-0.209440,0.000000,-1.465331,0.041449,0.000000,-1.263454,0.028338,0.642055,-0.463178,-0.112481,0.642055
14.000000,-0.925025,-0.209440,0.000000,-1.452439,0.038676,0.000000,-1.250991,0.037389,0.642055,-0.502765,-0.118760,0.642055
14.333333,-0.994838,-0.209440,0.000000,-1.437150,0.045868,0.000000,-1.244637,0.019063,0.642055,-0.538640,-0.107626,0.642055
14.666667,-1.047198,-0.157080,0.000000,-1.436909,0.000723,0.000000,-1.232323,0.036943,0.642055,-0.582880,-0.132721,0.642055
15.000000,-1.099557,-0.157080,0.000000,-1.437652,-0.002229,0.000000,-1.216047,0.048827,0.642055,-0.630098,-0.141653,0.642055
15.333333,-1.151917,-0.157080,0.000000,-1.437504,0.000442,0.000000,-1.201898,0.042446,0.642055,-0.676079,-0.137943,0.642055
15.666667,-1.204277,-0.157080,0.259589,-1.430139,0.022094,0.000000,-1.208389,-0.019473,0.642055,-0.708637,-0.097676,0.642055
16.000000,-1.256637,-0.157080,0.244853,-1.423509,0.019891,0.000000,-1.210341,-0.005855,0.642055,-0.745001,-0.109090,0.642055
16.333333,-1.308997,-0.157080,0.217660,-1.412568,0.032825,0.000000,-1.213936,-0.010784,0.587480,-0.776889,-0.095664,0.587480
